name;sku;active;region_id;platforms;platform_family;release_date;last_update_date;top_category;subscribers_count;float_price;is_lowest_price;id;url;cover;flags;retail_products;trophies.platinum;last_update.end_date;last_update.discount_percent;last_update.price;last_update.price_plus;last_update.price_old;user.subscribed;user.owns;user.ownership_types.1;user.ownership_types.2;user.ownership_types.3;user.ownership_types.4;user.ownership_types.5;user.liked;user.hid;scores.metacritic.score;scores.metacritic.id;scores.opencritic.score;scores.opencritic.id;scores.appstore.score
Battlefield 4 Community Operations;EP0006-CUSA00049_00-XPACK06000000000;True;13;['PS4'];1;2015-10-27T03:00:00+03:00;2016-08-07T04:42:48+03:00;add_on;0;0.0;True;560947;/region-es/game/560947/battlefield-4-community-operations;https://image.api.playstation.com/cdn/EP0006/CUSA00049_00/8pxiKj1sUqgncHj16vTeZOLBWuKSqfqs.png?w=440&thumb=false;[];[];True;;0;Gratis;Gratis;Gratis;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
'Animals' — Nickelback;EP0006-BLES00986_00-RBANIMALSDF7FC00;True;13;['PS4', 'PS3'];1;2015-10-02T03:00:00+03:00;2016-08-07T05:04:31+03:00;add_on;0;1.49;True;572688;/region-es/game/572688/animals-nickelback;https://image.api.playstation.com/cdn/EP0006/BLES00986_00/hWGlAXAANBX4DVEpM9ng19Lx6bpxAoAG.png?w=440&thumb=false;[];[];False;;0;1,49 €;1,49 €;1,49 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
'Blue Bayou' — Roy Orbison;EP0006-BLES00986_00-RBBLUEBAYCCFF17D;True;13;['PS4', 'PS3'];1;2015-10-02T03:00:00+03:00;2016-08-07T05:04:44+03:00;add_on;0;1.49;True;572764;/region-es/game/572764/blue-bayou-roy-orbison;https://image.api.playstation.com/cdn/EP0006/BLES00986_00/fkEutXyySbOfq2ORHSUDBBAHQf7HldCX.png?w=440&thumb=false;[];[];False;;0;1,49 €;1,49 €;1,49 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
Need For Speed Rivals: Pack DLC Completo;EP0006-CUSA00168_00-NFSRIVALSGOTYDLC;True;13;['PS4'];1;2014-10-22T04:00:00+04:00;2022-02-24T05:16:18+03:00;add_on;0;19.99;False;582971;/region-es/game/582971/need-for-speed-rivals-pack-dlc-completo;https://image.api.playstation.com/cdn/EP0006/CUSA00168_00/7ira2DLpwZm46fpEjwV33f2oGR5Rwnpz.png?w=440&thumb=false;[];[];True;;0;19,99 €;19,99 €;4,99 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
Pack De Trajes De Camisetas De Personajes De Lbp 3;EP9000-CUSA00762_00-LBPDLCORIGCK0018;True;13;['PS4', 'PS3', 'PSVita'];1;2014-11-26T03:00:00+03:00;2016-08-07T05:26:36+03:00;add_on;1;0.0;True;583951;/region-es/game/583951/pack-de-trajes-de-camisetas-de-personajes-de-lbp-3;https://image.api.playstation.com/cdn/EP9000/CUSA00762_00/ZeeyhgfrvcEUqCusx2AtxBqBroca1jxE.png?w=440&thumb=false;[];[];True;;0;Gratis;Gratis;Gratis;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
Rainbow Moon Amulet Set (Single) [Cross-Buy];EP2005-CUSA03436_00-RAINBOWMOONCAC20;True;13;['PS4', 'PS3', 'PSVita'];1;2016-02-17T03:00:00+03:00;2016-08-07T05:34:35+03:00;add_on;0;0.99;True;588241;/region-es/game/588241/rainbow-moon-amulet-set-single-cross-buy;https://image.api.playstation.com/cdn/EP2005/CUSA03436_00/a3xykUGIhCCYFXiovGCxOT21jj5Q9MuS.png?w=440&thumb=false;[];[];True;;0;0,99 €;0,99 €;0,99 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
P!Nk Pack 01;EP8802-BLES01611_00-RBPINKPAC03CC400;True;13;['PS4', 'PS3'];1;2015-10-02T03:00:00+03:00;2016-08-07T05:46:58+03:00;add_on;0;5.29;True;594917;/region-es/game/594917/p-nk-pack-01;https://image.api.playstation.com/cdn/EP8802/BLES01611_00/dxpDa1dxLuzIAakL1lmPKhVMXwjcyOw6.png?w=440&thumb=false;[];[];False;;0;5,29 €;5,29 €;5,29 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
MotoGP 14 Laguna Seca Red Bull Us Grand Prix;EP4356-CUSA00318_00-MOTOGP14000DLC02;True;13;['PS4'];1;2014-06-25T04:00:00+04:00;2016-08-07T05:52:39+03:00;add_on;0;2.99;True;598062;/region-es/game/598062/motogp-14-laguna-seca-red-bull-us-grand-prix;https://image.api.playstation.com/cdn/EP4356/CUSA00318_00/Dg1oMSCijjYrxnm0wwSpbwxgC1XRT54w.png?w=440&thumb=false;[];[];True;;0;2,99 €;2,99 €;2,99 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
Call Of Duty: Ghosts — Paquete Espectro;EP0002-CUSA00025_00-GHOSTSSPECTRUM00;True;13;['PS4', 'PS3'];1;2014-06-18T04:00:00+04:00;2016-08-07T05:52:40+03:00;add_on;0;1.99;True;598076;/region-es/game/598076/call-of-duty-ghosts-paquete-espectro;https://image.api.playstation.com/cdn/EP0002/CUSA00025_00/WaWowqeVX6T5sRTFfl6EOUfG2nTtfN8q.jpg?w=440&thumb=false;[];[];True;;0;1,99 €;1,99 €;1,99 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
Dw8Xlce — Nueva Etapa 12;EP4108-CUSA00365_00-DW8XLSTAGESET003;True;13;['PS4', 'PS3', 'PSVita'];1;2014-06-04T04:00:00+04:00;2016-08-07T05:52:45+03:00;add_on;0;1.99;True;598122;/region-es/game/598122/dw8xlce-nueva-etapa-12;https://image.api.playstation.com/cdn/EP4108/CUSA00365_00/8q5Ne0XWKDJ94QI82dG9FVSEsmEFgxqk.png?w=440&thumb=false;[];[];True;;0;1,99 €;1,99 €;1,99 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
